concept_id,en_abbrev,en_full,korean,domain,short,related
roc,ROC,Remote Operation Center,원격 제어 센터,조선,"바다 위에 떠 있는 자율운항 선박의 운항 상태, 엔진 기관, 화물 상황을 육상에서 실시간으로 모니터링하고 비상시 원격으로 조종할 수 있는 첨단 제어 기지 공간입니다. 선박 안전을 육상에서 이중으로 보장하는 역할을 합니다. 인공지능 자율운항 선박과 육상 간의 안전한 데이터 네트워크 보안을 유지하고 실시간으로 관리하는 통합 통제 기술에 쓰입니다.",
rohs,RoHS,Restriction of Hazardous Substances,유럽 유해물질 제한 지침,환경,"유럽연합에서 가전제품과 전자 부품에 납, 카드뮴, 수은 등 인체에 치명적인 유해 물질의 사용을 전면 금지하는 엄격한 환경 규제 지침입니다. 글로벌 전자제품 시장 진출을 위한 필수 통행증입니다. 디스플레이 화면의 색을 선명하게 해주는 양자점 소재를 만들 때, 카드뮴이 없는 친환경 소재를 사용하여 패널을 조립하는 공정 기준에 적용됩니다.",
route,ROUTE,Real-Time Object-Oriented Transport over Unidirectional Transport,실시간 객체지향 전송 프로토콜,방송,지상파 방송망을 통해 초고화질 영상 데이터뿐만 아니라 다양한 인터넷 기반 스마트 서비스를 실시간으로 동시 전송할 수 있도록 설계된 차세대 방송 데이터 송출 기술 표준입니다. 끊김 없는 양방향 방송을 가능하게 합니다. 국내외 차세대 초고화질 방송 표준 다중화 장비에서 기존 규격 신호와 통합하여 하나의 방송 신호로 묶어 내보낼 때 사용됩니다.,
saas,SaaS,Software as a Service,서비스형 소프트웨어,클라우드,"소프트웨어를 컴퓨터에 직접 설치하지 않고, 인터넷 클라우드를 통해 필요한 기능만 언제 어디서나 접속하여 구독형으로 사용하는 서비스 방식입니다. 사용자는 별도의 업데이트나 관리 수고 없이 맞춤형 기능을 편리하게 이용할 수 있습니다. 기업용 맞춤형 프로그램 개발이나 여러 소프트웨어 기능을 조합해 새로운 응용 연계 서비스를 제공하는 기술에 쓰입니다.",가상머신
semi-wet-방식,,Semi-Wet Type,세미웨트 방식,에너지,"해저 케이블 내부의 절연 공간에 소량의 특수 보호 오일을 채워 넣어, 바닷물의 높은 압력과 습기를 차단하고 케이블의 유연성을 유지하도록 설계한 절연 구조 방식입니다. 완전 건식 방식보다 외부 충격과 수압에 버티는 힘이 강합니다. 깊은 바다에 건설되는 해상풍력 발전단지 내부 전력망과 육지 변전소를 연결하는 고전압 케이블 제조에 사용됩니다.",
sic,SiC,Silicon Carbide,탄화규소,반도체,"규소와 탄소를 높은 온도에서 결합하여 만든 화합물 반도체 소재로, 다이아몬드처럼 단단하며 기존 실리콘보다 열전도율이 높고 고전압을 잘 견딥니다. 전력 변환 시 발생하는 에너지 손실을 크게 줄여 주기 때문에 고전압 환경에서 장시간 작동해야 하는 전기차 구동 인버터나 신재생에너지 장비에 필수적입니다.",gan;ga2o3;mosfet;igbt
sic-mosfet,SiC MOSFET,Silicon Carbide Metal-Oxide-Semiconductor Field-Effect Transistor,탄화규소 전력 반도체,반도체,"실리콘 대신 탄소와 규소가 결합된 차세대 화합물 소재를 사용하여 만든 고성능 전력 제어 트랜지스터 반도체입니다. 기존 실리콘 대비 10배 높은 전압을 견디고 고온에서도 전력 손실이 극히 적어 에너지 효율을 극대화합니다. 고전압과 고효율이 필수적인 하이브리드카, 전기자동차의 핵심 인버터 모듈 및 스마트그리드 전력 반도체 제조에 쓰입니다.",
sinx,,Silicon Nitride,질화규소,반도체,"규소와 질소가 결합하여 형성된 화합물로, 단단하고 내열성이 뛰어나 반도체 칩 내부에서 부품을 보호하는 얇은 막 형태로 사용되는 재료입니다. 반도체 제조 공정 중 회로 패턴을 깎아내는 식각 단계에서 특정 부분만 선택적으로 정밀하게 깎아낼 수 있도록 돕는 기준 막질의 역할을 담당합니다.",high-k-dielectric
siox,SiOx,Silicon Oxide,산화규소,반도체,"규소와 산소가 결합하여 형성된 화합물로, 반도체 칩 내부에서 전류가 엉뚱한 곳으로 흐르지 않도록 차단하는 절연막 역할을 하는 재료입니다. 정밀한 회로를 만드는 과정에서 기판 위에 얇은 막 형태로 입혀지며, 특정 회로 패턴만 남기고 불필요한 부분을 깎아내는 식각 공정 시 기준 막질로 요긴하게 쓰입니다.",박막
sip,SiP,System in Package,시스템 인 패키지,반도체,"기능이 각기 다른 여러 개의 반도체 칩(메모리, 프로세서 등)을 단 하나의 보호 포장재 안에 수평 또는 수직으로 결합하여 하나의 완벽한 복합 시스템으로 작동하게 만드는 첨단 패키징 기술입니다. 여러 개별 부품을 따로 장착할 때보다 공간을 획기적으로 줄여줍니다. 초소형 스마트 기기나 고집적 컴퓨터 칩을 양산하기 위한 미세 공정 및 장비 설계 기술에 쓰입니다.",plp;wlp
sj-mosfet,SJ MOSFET,Super Junction Metal-Oxide-Semiconductor Field-Effect Transistor,슈퍼정션 금속 산화물 반도체 전계 효과 트랜지스터,반도체,"반도체 내부의 전류 통로를 수직 구조로 개선하여, 고전압을 잘 견디면서도 전력 손실은 획기적으로 줄인 고효율 전력 조절 소자입니다. 전기를 통하게 하거나 차단하는 고속 스위치 역할을 하며, 태양광이나 풍력 같은 신재생에너지 발전 시스템 및 전기차 전력 변환 장치의 에너지 효율을 높이는 데 쓰입니다.",
smart,SMART,System-integrated Modular Advanced ReacTor,스마트 원자로(중소형 일체형 원자로),원자력,"대한민국이 독자 개발한 중소형 원자로 모델로, 대형 원전과 달리 원자로, 증기발생기, 가압기 등 핵심 기기들을 단 하나의 압력 용기 안에 모두 집적해 넣은 일체형 원전 설계 기술입니다. 연결 파이프가 없어 배관 파손으로 인한 방사능 누출 위험을 원천 차단한 것이 특징입니다. 전력 생산뿐만 아니라 해수 담수화 등 다목적으로 활용 가능한 표준 설계 자산입니다.",smr;가압기
smr,SMR,Small Modular Reactor,소형 모듈 원자로,원자력,"전기 출력 300메가와트 이하 소형 크기로, 공장에서 주요 핵심 기기 모듈을 미리 제작한 뒤 건설 현장으로 운반하여 조립할 수 있도록 고안된 차세대 일체형 안전 원전 기술입니다. 거대한 격납건물이 필요 없고 냉각수가 끊겨도 자연적으로 식도록 안전성을 극대화한 것이 특징입니다. 노심 설계, 유체 계통 검증 및 통합 해석 시스템을 구축하는 첨단 원전 분야입니다.",smart;가압기
soc,SoC,System on Chip,단일 칩 시스템,반도체,"컴퓨터나 스마트폰 구동에 필요한 중앙처리장치, 메모리, 그래픽, 통신 등 여러 가지 핵심 부품을 하나의 반도체 칩 안에 모두 집어넣은 복합 부품입니다. 여러 칩을 따로 배치할 때보다 크기와 전력 소모를 크게 줄일 수 있어 스마트폰, 웨어러블 기기, 지능형 센서 등에 널리 쓰입니다.",파운드리;cmos-이미지센서
som,SOM,Selector Only Memory,선택 소자 일체형 메모리,반도체,"전류의 흐름을 통제하는 선택 소자 자체에 데이터 저장 기능까지 결합하여 구조를 극한으로 단순화한 차세대 메모리반도체입니다. 구조가 간단한 만큼 칩을 더 작게 만들거나 촘촘히 쌓아 대용량화하기에 유리하며, 처리 속도가 빠르고 전력 소모가 적어 초거대 인공지능 시스템을 지원하는 차세대 저장 장치로 연구됩니다.",
sst,SST,Salt Spray Test,염수 분무 시험,소재,"금속 재료나 도금 강판 표면에 인위적으로 고농도의 소금물 안개를 지속적으로 뿌려, 제품에 녹이 슬거나 부식되기 시작하는 시점까지의 한계 시간을 측정하는 품질 신뢰성 시험법입니다. 제품의 수명과 부식 견딤성을 객관적으로 증명합니다. 자동차 배기계 등에 쓰이는 알루미늄 도금 강판이 수천 시간 이상의 가혹한 소금물 접촉을 버티는지 검증하는 기준으로 활용됩니다.",
stt-mram,STT-MRAM,Spin Transfer Torque-Magnetic Random Access Memory,스핀주입 자화반전 메모리,반도체,"전자의 회전 운동 성질인 스핀을 이용하여 자성의 방향을 바꾸는 방식으로 데이터를 기록하는 차세대 메모리반도체입니다. 처리 속도가 매우 빠르고 전기를 끄더라도 데이터가 유지되며, 무한대에 가까운 반복 기록이 가능하여 기기의 에너지 효율을 높이는 핵심 반도체로 주목받고 있습니다.",d램;낸드플래시메모리;pram;reram
t-con,T-Con,Timing Controller,타이밍 컨트롤러,디스플레이,컴퓨터나 방송 기기에서 들어오는 디지털 영상 신호를 디스플레이 구동 칩이 이해할 수 있도록 시간 순서와 데이터 양을 알맞게 정렬하고 분배해주는 디스플레이 전용 제어 반도체입니다. 화면 전체에 왜곡 없이 정확한 시간에 색상이 표시되도록 지휘합니다. 고해상도 차량용 대형 디스플레이 패널 및 고성능 화면 전원 전압 제어 칩 설계의 필수 부품입니다.,lcd
t-박리강도,,T-Peel Strength,티 박리 강도,소재,"접착제로 붙여 놓은 얇은 두 재료를 알파벳 'T' 자 모양으로 양 갈래로 벌려 뜯어낼 때, 접착 면이 파괴되지 않고 버티는 최대 저항 힘을 측정한 물리적 지표입니다. 껍질을 벗기듯 가해지는 외력에 대한 접착제의 끈끈한 유지력을 평가합니다. 가혹한 차량 진동을 견뎌야 하는 전자 제품 내열용 및 차량 구조용 고기능 에폭시 접착 소재의 강도 규격 기준으로 활용됩니다.",
tele-presence,,Tele-presence,원격 현장감 로봇,로봇,"멀리 떨어진 곳에 있는 사용자의 음성과 섬세한 움직임을 실시간으로 동시 동기화하여, 마치 현장에 실제로 나와 있는 것과 같은 깊은 몰입감과 원격 대면 서비스를 제공하는 첨단 커뮤니케이션 로봇 기술입니다. 사용자의 아바타 역할을 수행합니다. 의사가 원거리에 있는 환자를 직접 마주 보며 고화질 영상으로 정밀 진료하고 자문하는 의료 서비스 분야에 활용됩니다.",
tft,TFT,Thin Film Transistor,박막 트랜지스터,디스플레이,"디스플레이 화면을 구성하는 수많은 화소의 밝기를 조절하기 위해 뒤편에 배열하는 아주 얇은 전자 스위치입니다. 전류를 흘리거나 차단하여 각 화소가 빛을 내는 타이밍을 정밀하게 제어하며, 스마트폰이나 TV 화면이 부드럽고 선명한 색상을 고속으로 표현할 수 있도록 돕는 뼈대 역할을 합니다.",oled
tft-형성,TFT 형성,Thin Film Transistor Fabrication,박막 트랜지스터 형성,디스플레이,"디스플레이 기판 위에 머리카락보다 얇은 미세한 전기 스위치 회로인 박막 트랜지스터를 촘촘하게 만들어 배열하는 핵심 제조 공정 단계입니다. 화면의 화소 하나하나를 켜고 끄는 제어 장치를 심는 과정입니다. 이 공정에 사용되는 반도체급 노광 장비, 화학 및 물리적 박막 증착기, 정밀 식각기 및 품질 검사 장비 부품 제조 기술 전반에 적용됩니다.",증착-2;화소
uhd,UHD,Ultra High Definition,초고화질,방송,"기존의 고화질 방송보다 화소 수가 4배 이상 많아 유독 선명하고 생생한 화면을 제공하는 초고화질 영상 기술 규격입니다. 정밀한 영상 데이터를 압축하고 송출하는 과정이 복잡하므로, 이를 시청자에게 끊김 없이 전달하기 위해 방송 신호들을 하나로 묶어 송출하는 통합 다중화기 등 첨단 통신 기술이 결합되어 쓰입니다.",
uhv,UHV,Ultra High Voltage,초고전압 반도체 기술,반도체,일반 컴퓨터 칩이 감당할 수 없는 수준인 대략 800볼트 이상의 거대하고 강력한 전압 환경에서도 타거나 파손되지 않고 안정적으로 전류를 제어하는 특수 전력 관리 반도체 제조 기술입니다. 고전압 전류를 효율적으로 변환합니다. 에너지 효율을 극대화해야 하는 대형 가전제품 전원 장치나 고출력 산업용 전력 공급 관리 반도체 칩을 제조하는 데 필수적입니다.,
ui,UI,User Interface,사용자 인터페이스,콘텐츠,"사용자가 게임이나 디지털 콘텐츠 화면에서 캐릭터를 조작하고 메뉴를 편리하게 선택할 수 있도록 배치한 버튼, 체력 바, 알림창 등의 시각적인 소통 창구이자 구성 요소 일체입니다. 사용자의 조작 편의성을 높이는 다리 역할을 합니다. 게임 엔진 위에서 사용자가 몰입감 있게 게임을 즐길 수 있도록 운영 환경과 그래픽 연출을 기획하고 제작하는 기술에 포함됩니다.",
utg,UTG,Ultra Thin Glass,초박형 유리,디스플레이,머리카락 두께 수준인 100마이크로미터 이하로 극도로 얇게 가공하여 유리의 단단한 특성을 유지하면서도 종이처럼 유연하게 접을 수 있도록 만든 소재입니다. 스크래치에 강하고 표면이 매끄러워 폴더블폰이나 롤러블 디스플레이의 화면 가장 바깥쪽에서 내부 패널을 보호하는 커버 윈도우 재료로 필수적으로 쓰입니다.,
uwb,UWB,Ultra-Wideband,초광대역 무선 통신,통신,매우 넓은 주파수 대역폭을 사용하여 아주 적은 전력으로 수 센티미터 수준의 오차 없이 정밀하게 거리와 위치 공간을 인식하는 근거리 무선 통신 기술입니다. 블루투스보다 정밀도가 높고 보안성이 우수합니다. 스마트 기기의 소형 제어 칩이나 무선 아날로그 데이터 변환 반도체와 결합하여 고품질의 사물인터넷 반도체 칩을 설계하고 구현하는 데 활용됩니다.,mixed-signal-반도체
wlp,WLP,Wafer Level Packaging,웨이퍼 레벨 패키징,반도체,"반도체 칩을 하나씩 낱개로 잘라내어 포장하는 일반적인 방식과 달리, 가공이 끝난 둥근 원판 웨이퍼 상태 그대로 한꺼번에 보호 외관을 입히고 배선 회로를 연결하는 정밀 패키징 기술입니다. 반도체 제품 크기를 최소화하고 전력 신호 전송 효율을 향상시킵니다. 인공지능 연산용 복합 소자나 고밀도 3차원 반도체 부품을 미세 가공 제조하는 후공정 기술에 활용됩니다.",plp;sip
wollastonite,,Wollastonite,규회석,소재,"칼슘과 규소, 산소로 이루어진 천연 백색 광물 화합물로, 시멘트 생산 시 이산화탄소를 배출하는 주범인 석회석을 완전히 대체할 수 있는 무탄소 친환경 광물 원료 소재입니다. 가열해도 이산화탄소 가스가 발생하지 않는 청정 대체재 역할을 합니다. 공장 배기가스 중의 온실가스를 흡수하여 스스로 굳어지는 친환경 탄소중립 시멘트를 제조하는 핵심 제조 기술에 활용됩니다.",rankinite
wvtr,WVTR,Water Vapor Transmission Rate,수분 투과율,소재,일정한 기온과 습도 환경 조건 하에서 일정한 시간 동안 얇은 필름이나 코팅막 소재를 뚫고 지나가는 수증기의 양을 정량화한 수치입니다. 소재의 수분 차단 성능을 뜻합니다. 습기에 매우 취약하여 쉽게 산화되는 미세 반도체 및 전자 부품용 절연 에폭시 수지나 디스플레이 보호용 접착 소재가 완벽한 방수 차단 신뢰성을 갖추었는지 검증하는 기준으로 쓰입니다.,t-박리강도
가반하중,,Payload,가반하중(적재중량),로봇,산업용 로봇이나 협동 로봇이 정상적인 정밀도와 속도를 유지하면서 안전하게 들어 올려서 옮길 수 있는 화물의 최대 허용 무게입니다. 로봇의 근력과 작업 한계 한계를 나타내는 지표입니다. 공장에서 작업자와 가까이서 일하는 초소형 정밀 로봇이나 25킬로그램 이상의 무거운 철판 등을 반복하여 나르는 중대형 협동 제조 로봇의 성능 규격 기준으로 쓰입니다.,pl-e
가상머신,VM,Virtual Machine,가상머신,클라우드,하나의 물리적인 실제 컴퓨터 하드웨어 장치 위에 소프트웨어를 사용하여 독립적으로 작동하는 별도의 가상 컴퓨터 환경을 구현해 놓은 시스템입니다. 컴퓨터 안에 또 다른 가상 컴퓨터를 만드는 원리입니다. 대형 서버의 저장 공간과 인프라 자원을 효율적으로 쪼개어 다수의 사용자에게 구독형으로 빌려주는 클라우드 인프라 핵심 기술에 활용됩니다.,saas
가성소다,,Sodium Hydroxide,가성소다(수산화나트륨),에너지,"강한 알칼리성을 지닌 고체 화합물로, 소금물을 전기로 분해하는 제조 공정을 통해 얻어지며 비누, 섬유, 정밀 화학 제품 가공에 광범위하게 쓰이는 기초 화학 원료 물질입니다. 이 소금물 전기분해 공정 과정에서 다량의 고순도 수소 가스가 부산물로 생성되는 특징이 있습니다. 공장의 제조 공정 중 발생하는 부생 가스를 정제하여 친환경 수소를 생산하는 기술 맥락에 포함됩니다.",
가스터빈,,Gas Turbine,가스터빈,에너지,고압의 압축 공기 속에서 연료를 태워 발생한 고온·고압의 연소 가스 제트 기류로 회전 날개(터빈)를 고속으로 돌려 기계적 회전 에너지를 얻는 대형 회전 동력 기관입니다. 발전소의 터빈기 역할을 합니다. 온실가스를 배출하지 않는 액화 암모니아 연료를 직접 연소시키거나 기존 천연가스와 혼합하여 전력을 생산하는 친환경 무탄소 발전 시스템 설계 기술에 쓰입니다.,
가압기,,Pressurizer,가압기,원자력,"가압경수형 원자로 내부의 냉각수 계통 압력을 높은 수준으로 일정하게 조절하고 유지하여, 핵분열 열을 받는 냉각수가 수백 도의 고온에서도 끓어오르거나 증발하지 않도록 억제하는 원전의 핵심 압력 제어 장치입니다. 냉각수의 액체 상태를 유지시킵니다. 원자로와 증기발생기 등 모든 대형 기기를 단 하나의 용기 안에 묶어 제조하는 일체형 소형 모듈 원자로 모듈의 필수 내장 부품입니다.",원자로;smr
가연성흡수봉,,Burnable Absorber Rod,가연성 흡수봉,원자력,"원자로가 처음 가동될 때 핵분열 반응이 과도하게 일어나는 것을 막기 위해, 중성자를 흡수하는 물질을 넣은 제어봉 형태의 부품입니다. 시간이 지나며 중성자를 먹고 스스로 연소하여 타버리기 때문에 가연성이라는 이름이 붙었습니다. 냉각수에 별도의 붕산을 섞지 않고도 원자로 노심 자체의 출력 균형을 오랫동안 안전하게 유지할 수 있는 소형 일체형 원자로 제조 기술에 활용됩니다.",원자로;smr
간섭무늬,,Interference Pattern,간섭무늬,콘텐츠,"두 개 이상의 빛 파동이 서로 만나 중첩될 때, 파도의 마루와 골이 겹치면서 빛이 더 밝아지거나 어두워져 나타나는 미세한 줄무늬 모양의 파면 자국입니다. 이 무늬 속에 사물의 정밀한 3차원 입체 정보가 기록됩니다. 완전한 입체 영상을 눈앞에 구현하는 디지털 홀로그램 콘텐츠를 제작하기 위해 미세한 프린지 패턴을 수학적으로 생성하고 연산하는 기술에 쓰입니다.",
감광성-코팅,,Photosensitive Coating,감광성 코팅,반도체,"특정 파장의 빛을 받으면 화학적 성질이 변하는 성질을 지닌 특수 재료를 반도체 표면에 얇게 바르는 기술입니다. 외부의 충격이나 수분, 유해 물질로부터 민감한 반도체 칩을 안전하게 보호하는 절연막을 형성할 때 쓰이며, 반도체 칩들을 조립하고 배선을 연결하는 패키징 공정에서 안정성을 높이기 위해 활용됩니다.",박막
감속기,,Reducer,감속기,로봇,"로봇 모터의 빠른 회전 속도를 정밀한 기어를 통해 적절히 낮추는 대신, 물건을 들어 올리는 물리적인 회전 힘(토크)을 수십 배로 강력하게 키워주는 로봇 관절용 핵심 동력 변환 부품입니다. 힘을 키우고 세밀한 멈춤을 조절합니다. 소형 관절 구동 모터, 위치 측정용 엔코더 및 드라이버 칩을 단 하나의 몸체 안에 밀집시킨 모듈형 관절 구동 액추에이터 제조에 필수적입니다.",가반하중
감용기술,,Volume Reduction Technology,감용기술(부피 저감 기술),원자력,"수명을 다한 원자력 발전소를 해체하는 과정에서 발생하는 방사성 폐기물이나 오염된 금속, 콘크리트 부품들의 부피와 무게를 압축, 용융, 화학적 처리 등을 통해 획기적으로 줄여주는 정밀 처리 기술입니다. 영구 처분장의 보관 공간 포화를 막아줍니다. 해체 현장의 방사능을 측정하고 구조물을 안전하게 절단하여 준위별로 방폐물 관리 비용을 절감하는 자원 순환 기술에 활용됩니다.",
강관,,Steel Pipe,강관(철강 파이프),소재,철강 합금을 이용해 둥근 튜브 모양이나 파이프 형태로 길게 늘여 만든 철제 관 구조물입니다. 내부로 액체나 기체를 안전하게 수송하는 통로가 됩니다. 고온·고압의 가혹한 화학 공장이나 원전 설비 내부에서 연결 부위 틈새 붕괴나 누출 사고를 방지하기 위해 용접 이음매가 아예 없도록 정밀하게 압출 가공한 고청정 스테인리스 합금 파이프 제조 기술에 활용됩니다.,
강화학습,,Reinforcement Learning,강화학습,AI,"인공지능 컴퓨터가 정해진 데이터 정답 없이, 가상 환경 속에서 시행착오를 반복하며 올바른 행동을 했을 때는 보상을 받고 잘못했을 때는 벌점을 받아 스스로 최적의 문제 해결 지름길을 찾아내는 인공지능 학습 방법입니다. 게임 비행 시뮬레이션과 유사합니다. 고도의 생성형 인공지능 기초 모델의 문맥 학습 능력을 정교화하고 자율 추론 알고리즘을 고도화하는 핵심 기술입니다.",거대-인공지능-기초-모델
개질기,,Reformer,개질기,수소,"메탄 가스나 액화천연가스 등 기존 화석연료 유기 화합물의 화학적 분자 구조를 고온의 촉매 반응으로 재배열하여 수소차 연료전지에 필요한 고순도 수소 가스를 뽑아내는 가스 변환 장치입니다. 연료를 수소 연료로 바꾸어줍니다. 친환경 수소 차량의 출력을 담당하는 연료전지 시스템 내부에서 전력 생산을 유도하는 막전극 접합체, 분리판 등 전용 핵심 부품 제조 기술에 적용됩니다.",연료전지-2
개폐기,,Switchgear,개폐기,에너지,전기가 흐르는 일상적인 배전 전력망 선로에서 전류의 흐름을 필요에 따라 수동 또는 자동으로 안전하게 켜고 끄는 전력 제어 스위치 장치입니다. 선로 점검이나 사고 예방 시 전류를 차단합니다. 정전이나 배전 계통 오류를 인공지능 인공지능이 실시간 감지하여 자동 제어하는 스마트 배전계통망 인프라 구축 기술 및 지능형 차단기 제조 부품에 탑재되어 사용됩니다.,
객담,,Sputum,객담(가래),바이오,기도나 폐 등 호흡기 내부에서 분비되어 입을 통해 뱉어내는 끈적한 점액성 분비물로 흔히 가래라고 부릅니다. 환자의 체내 병원체 정보를 고스란히 담고 있는 유용한 생체 검체입니다. 국내외에서 새롭게 유행하거나 확산 우려가 높은 신종 호흡기 감염병의 원인 병원체 균을 정확하게 진단하고 판별하기 위한 검사용 진단 의료 기기 및 시약 개발의 기초 추출 대상으로 활용됩니다.,rna
거대-인공지능-기초-모델,,Foundation Model,거대 인공지능 기초 모델,AI,"인터넷상의 수많은 초거대 데이터를 바탕으로 미리 광범위하게 학습시켜, 하나의 모델로 번역, 코딩, 이미지 생성 등 다양한 맞춤형 과제를 전문가 수준으로 융합 처리할 수 있도록 만든 기본 뼈대 인공지능 시스템입니다. 챗GPT의 기반이 되는 거대 모델입니다. 사용자가 입력한 자연어 명령어 프롬프트에 대응하여 부드러운 문장이나 고화질 미디어를 생성하는 핵심 알고리즘입니다.",강화학습
게이트웨이,,Gateway,게이트웨이,통신,"서로 다른 통신 규격이나 네트워크 프로토콜을 사용하는 두 시스템 사이에 위치하여, 전송되는 데이터 형식을 알맞게 변환하고 신호가 막힘없이 오고 갈 수 있도록 연결해주는 관문 통신 장치입니다. 서로 다른 통신망의 통역사 역할을 합니다. 초고속 초저지연을 보장하는 5G·6G 이동통신 기지국 장비와 연동되는 기간망 코어 네트워크의 데이터 라우터 및 스위치 장비에 필수 탑재됩니다.",bps
게임엔진,,Game Engine,게임 엔진,콘텐츠,"게임이나 애니메이션 같은 가상 콘텐츠를 효율적으로 제작할 수 있도록 그래픽 표현, 물리 법칙 계산, 소리 출력 등의 핵심 기능을 미리 갖추어 놓은 소프트웨어 개발 도구입니다. 개발자가 기초부터 새로 만들지 않고 화면을 실시간으로 구현할 수 있게 도와주며, 최근에는 버추얼 프로덕션 등 영상 제작에도 널리 활용됩니다.",
격납건물,,Containment Building,원자로 격납건물,원자력,원자력 발전소의 핵심인 원자로와 주요 냉각재 장치들을 외부와 차단하기 위해 외곽에 두껍고 튼튼하게 지은 콘크리트돔 구조물입니다. 비상 사고 발생 시 방사성 물질이 외부 공기 중으로 유출되는 것을 차단하는 최후의 방패 역할을 합니다. 원전 내부 가압경수형 원자로의 안전성과 열역학적 거동을 정밀 해석하고 확인하는 노심 안전 전산 해석 소프트웨어 코드 개발에 쓰입니다.,원자로;열수력
결정립,,Crystal Grain,결정립,소재,"금속이나 세라믹 고체 재료의 내부 구조를 미세하게 확대했을 때, 원자들이 규칙적으로 배열되어 이룬 미세한 개별 결정 알갱이 하나하나를 의미합니다. 이 알갱이들의 크기와 경계면 상태에 따라 소재의 강도와 자석 성능이 좌우됩니다. 값비싼 희토류 사용량을 줄이면서도 전기차 모터 등에 들어가는 고기능성 강력 영구자석의 밀도와 소결 품질을 높이는 제조 공정에 쓰입니다.",
결정질-실리콘,,Crystalline Silicon,결정질 실리콘,소재,"실리콘 내부의 원자 배열이 전반적으로 규칙적인 격자 구조를 이루고 있어, 빛을 받았을 때 전자의 이동이 매우 원활하고 광전 변환 효율이 우수한 대표적인 태양전지용 기초 기판 소재입니다. 현재 태양광 발전 시장의 대세 기판입니다. 효율 24% 이상의 대면적 태양전지 공정 기술을 확보하고 고출력 대형 태양광 발전 모듈을 집적하여 제조하는 탄소중립 분야에 활용됩니다.",n형-대면적
결정화,,Crystallization,결정화 공정,소재,액체 상태로 녹아 있거나 화학 용액 속에 불규칙하게 섞여 있는 금속 이온 원료들을 온도 제어와 화학 반응을 통해 규칙적인 원자 구조를 가진 고체 결정 알갱이로 석출해내는 정밀 가공 기술입니다. 불순물을 배제하고 고순도 입자를 얻는 핵심 공정입니다. 이차전지 배터리의 수명과 용량을 결정짓는 양극재용 고순도 화합물 중간체 및 순도 99% 이상의 금속 소재 정련에 사용됩니다.,
결합제,,Binder,결합제(바인더),소재,미세한 광물 알갱이나 다이아몬드 가루 등 단독으로는 뭉치기 어려운 고체 입자들을 단단하게 이어 붙여서 일정한 고체 형태로 고정해주는 일종의 산업용 접착 및 결합용 매개 소재입니다. 구조적 형태를 유지시켜 줍니다. 사파이어나 강화유리 등 단단한 첨단 소재 표면을 정밀하게 깎아내는 고정도 회전 연삭 숫돌을 단단히 고정하고 형태를 유지시키는 기계 제조 분야에 쓰입니다.,고정도
계면활성제,,Surfactant,계면활성제,소재,"한 분자 내에 물과 친한 부분과 기름과 친한 부분을 동시에 가지고 있어, 성질이 다른 두 액체 경계면에 작용하여 표면 에너지를 낮추고 두 물질이 잘 섞이거나 퍼지도록 돕는 화학 물질입니다. 흔히 세제나 에멀션의 기본 성분입니다. 반도체 공정용 고순도 유기 용매에 혼합되어 미세 금속 불순물 함량을 극미량으로 낮추고 도료의 흠집 방지와 도포 기능을 향상시키는 데 쓰입니다.",pfoa;pgmea
계측제어,I&C,Instrumentation and Control,계측 제어,원자력,"원자력발전소의 온도, 압력, 출력 등 다양한 상태 정보를 정밀하게 측정하고 이를 토대로 원자로의 작동을 안전하게 조절하는 기술 체계입니다. 원전의 이상 징후를 감시하고 비상 상황 시 자동으로 가동을 멈추는 등 인간의 신경망과 같은 안전장치 역할을 수행하며, 가동 원전의 디지털 업그레이드와 소형 원자로 설계의 핵심이 됩니다.",
계통제약-전력,,Curtailment Power,계통제약 전력(미활용 전력),에너지,"태양광, 풍력 등 재생에너지나 원자력 발전소에서 전기를 너무 많이 생산했지만, 송전선로의 용량 한계나 수요 부족으로 인해 전력망 안전을 위해 강제로 발전을 중단하거나 버려지는 잉여 전력 에너지입니다. 버려지는 미활용 전기입니다. 이 남는 전기를 활용하여 물을 정밀 분해함으로써 온실가스 배출 없이 청정 수소를 대량으로 생산·저장하는 친환경 수전해 공정에 유용하게 쓰입니다.",수소;고체산화물-연료전지
고로,,Blast Furnace,용광로,소재,"철광석을 녹여 철강의 기본 원료가 되는 액체 상태의 무쇠를 만들어내는 거대한 탑 모양의 용광로 설비입니다. 전통적으로 유연탄을 연료로 사용해 막대한 탄소를 배출해 왔으나, 최근에는 탄소 배출을 줄이기 위해 화석연료 대신 수소가 포함된 가스를 불어넣어 철을 추출하는 저탄소 제철 기술 개발이 활발히 진행 중입니다.",
고선택비,,High Selectivity Ratio,고선택비,반도체,"반도체 화학 식각 공정에서 화학 물질이 타겟이 되는 특정 박막 막질만을 정확하고 빠르게 녹여내고, 지켜야 하는 주변의 다른 절연막 구조물은 거의 깎지 않고 원형 그대로 보존해내는 미세 가공 정밀도의 비율 척도입니다. 불량률을 획기적으로 낮춰줍니다. 낸드플래시 등 입체 회로 형성 시 실리콘 산화막은 두고 질화막만 1000배 이상 속도로 깨끗이 녹여내는 특수 인산 식각액 제조에 적용됩니다.",
